id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
606874,4,07-Jun,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3,Mamma Mia,Soda,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
505318,2,3 or more,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5,Cloudy with a chance of meatballs,Soda,"Siblings,Friends",A little (mild),Pizza
605771,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$15,None,Soda,"Siblings,Friends",None,Pizza
606929,3,about 3 or 4,Week day lunch,1,dragon,coke ,Friends,None,Pizza
502610,2,"There are 3 major ingredients the sauce the dough.crust and the cheese. then the addons ingredients can enhance it.

So 4 in total","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 30-40 $,Cloudy with a chance of meatball,Coca cola zero,"Parents,Siblings,Friends",None,Pizza
603476,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,whiplash,coke,"Parents,Siblings,Friends",None,Pizza
600957,2,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$6,Home alone,Water,Siblings,None,Pizza
713423,5,"Maybe about 15 ingredients: starch, egg, sugar, milk, yeast, cheese, salami, corn kernels, peas, mushroom, olive, green pepper, shrimp, tomato, and maybe pineapple (I know, some Italians will want to kill me).","Week day dinner,Weekend dinner,At a party",CA$15,Inside Out,Coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
722431,2,"Around 4 to 6 key ingredients (counting only categories, not individual types of each category like different spices or toppings). ","Week day lunch,Week day dinner,Weekend lunch,At a party","Maybe 20$, for 14'' or 16''.",Teenage Mutant Ninja Turtles.,"Orange juice, my favourite.",Friends,None,Pizza
632153,3,"Around 10 or so, depending on the flavour","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",At most $6,Ratatouille,Sparkling water,Friends,None,Pizza
602526,4,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$13,Hawkeye,orange juice,"Siblings,Friends",A little (mild),Shawarma
497421,2,"At least 3, such as pita, meat, vegetables.","Week day lunch,Weekend lunch,Late night snack",About 20-30 CAD,Argo,Coke,"Friends,Strangers",A moderate amount (medium),Shawarma
630190,2,I would expect this food to contain 6 ingredients.,Week day lunch,8 dollars.,I think of the movie Borat.,"No drink, or iced tea.","Friends,Strangers",A little (mild),Shawarma
289931,5,"6: Wrap, meat, lettuce, tomatoes, sauces, cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$12,Aladdin,Pop like Coke,Friends,None,Shawarma
620148,1,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,The Invisible Guest,Water,Friends,A little (mild),Shawarma
387155,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Squid game,water,"Siblings,Friends",A moderate amount (medium),Shawarma
516975,3,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","$12 - $15

inflation 😩",The Avengers,Ginger ale,"Siblings,Friends",A little (mild),Shawarma
630825,2,4,"Week day lunch,At a party",5 dollar,Titanic,Juice,"Siblings,Friends",None,Shawarma
614043,3,5-8 (6 in general),"Week day lunch,Week day dinner,Weekend lunch",8,Avengers 1,Ayran ,"Parents,Friends",A moderate amount (medium),Shawarma
