Cluster Id,Count,Cluster Words,Indices
water,367,"sparkling water, water tea, just water, green tea, tap water, hot water, water sake, mineral water, cold water, water",[]
coke,283,"coke, cokecoke zero, coke zero, pepsicoke, diet coke, cokecola, pepsi coke, cococola, regular coke",[]
soda,110,"soda, water soda, sodapop, popsoda, a soda, soda pop, canned soda",[]
ice tea,108,"tea, iced tealemonade, water icedtea, iced tea, rice tea, ice tea",[]
sprite,98,"pepsi, pepsiwater, sprite, diet pepsi, dr pepper",[]
cola,97,"coca cola, cocacola, hot chocolate, chocolate milk, cola, cocacola zero, alcohol, crushcola, obviously cola",[]
juice,62,"orange juice, apple juice, mango juice, juicewine, pineapple juice, fruit juice, juice, sugarcane juice",[]
sake,42,"sake beer, alcoholic sake, sake",[]
soup,41,"misso soup, miso soup, pops, soup, pop",[]
soft drink,22,"soft drink, soft drinks, soft, no drink, sprindrift",[]
nestea,22,nestea,[]
root beer,18,"rootbeer, root beer, beer",[]
ginger ale,17,"gingerale, ginger tea, ginger ale",[]
milk,12,"soybean milk, milk, milk tea, milkshake",[]
red wine,11,"red wine, wine, rice wine",[]
lemonade,11,"lemonade, mint lemonade",[]
fanta,10,"pineapple fanta, fanta",[]
lemon tea,10,"lemon tea, lemon water, orange fanta, oolong tea",[]
ayran,10,"ayran, laban ayran",[]
soju,7,soju,[]
hot tea,6,hot tea,[]
barley tea,6,barley tea,[]
matcha,5,"matcha, matcha tea, hot matcha",[]
pop drink,5,"pop drink, pop drinks",[]
barbican,4,barbican,[]
bubble tea,4,bubble tea,[]
carbonated drink,3,"carbonated drink, martini cocktail, carbonated drinks",[]
lassi,3,"lassi, mango lassi",[]
jasmine tea,3,jasmine tea,[]
calpis,3,calpis,[]
crush,2,crush,[]
mountain dew,2,mountain dew,[]
fruit tea,2,fruit tea,[]
ramune,2,ramune,[]
canada dry,2,canada dry,[]
laban,2,laban,[]
7up,2,7up,[]
ocha,2,ocha,[]
jarritos,1,jarritos,[]
the avengers,1,the avengers,[]
none,1,none,[]
boba,1,boba,[]
fish sauce,1,fish sauce,[]
a beer,1,a beer,[]
coffee,1,coffee,[]
smoothie,1,smoothie,[]
champagne,1,champagne,[]
gatorade,1,gatorade,[]
leban,1,leban,[]
yogurt,1,yogurt,[]
dairy,1,dairy,[]
powerade,1,powerade,[]
mango pulp,1,mango pulp,[]
diet brisk,1,diet brisk,[]
yakult,1,yakult,[]
saporo,1,saporo,[]
soy sauce,1,soy sauce,[]
cocktail,1,cocktail,[]
baijiu,1,baijiu,[]
any tea,1,any tea,[]
